Sno,Htno,Subcode,Subname,Internals,Grade,Credits
38,21JD1A0412,R2021041,ELECTRONIC DEVICES AND CIRCUITS,15,F,0
39,21JD1A0413,R2021041,ELECTRONIC DEVICES AND CIRCUITS,17,F,0
40,21JD1A0413,R2021043,SIGNALS AND SYSTEMS,14,F,0
41,21JD1A0427,R2021011,MATHEMATICS-III,9,F,0
42,21JD1A0427,R2021041,ELECTRONIC DEVICES AND CIRCUITS,7,F,0
43,21JD1A0427,R2021042,SWITCHING THEORY AND LOGIC DESIGN,5,F,0
44,21JD1A0427,R2021043,SIGNALS AND SYSTEMS,7,F,0
45,21JD1A0443,R2021011,MATHEMATICS-III,10,F,0
46,21JD1A0443,R2021043,SIGNALS AND SYSTEMS,7,F,0
47,21JD1A0448,R2021011,MATHEMATICS-III,13,F,0
48,21JD1A0448,R2021042,SWITCHING THEORY AND LOGIC DESIGN,11,E,3
49,21JD1A0448,R2021043,SIGNALS AND SYSTEMS,13,F,0
50,21JD1A0454,R2021011,MATHEMATICS-III,17,F,0
51,21JD1A0454,R2021041,ELECTRONIC DEVICES AND CIRCUITS,10,F,0
52,21JD1A0454,R2021042,SWITCHING THEORY AND LOGIC DESIGN,13,D,3
53,21JD1A0454,R2021043,SIGNALS AND SYSTEMS,11,F,0
54,21JD1A0459,R2021042,SWITCHING THEORY AND LOGIC DESIGN,14,E,3
55,21JD1A0459,R2021043,SIGNALS AND SYSTEMS,17,F,0
56,21JD1A0460,R2021043,SIGNALS AND SYSTEMS,20,E,3
57,21JD1A0462,R2021011,MATHEMATICS-III,15,F,0
58,21JD1A0462,R2021041,ELECTRONIC DEVICES AND CIRCUITS,13,F,0
59,21JD1A0462,R2021042,SWITCHING THEORY AND LOGIC DESIGN,16,E,3
60,21JD1A0462,R2021043,SIGNALS AND SYSTEMS,17,F,0
61,21JD1A0462,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,18,ABSENT,0
62,21JD1A0469,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,19,D,3
63,21JD1A0471,R2021011,MATHEMATICS-III,24,F,0
64,21JD1A0478,R2021011,MATHEMATICS-III,22,F,0
65,21JD1A0478,R2021041,ELECTRONIC DEVICES AND CIRCUITS,18,F,0
66,21JD1A0478,R2021042,SWITCHING THEORY AND LOGIC DESIGN,19,D,3
67,21JD1A0478,R2021043,SIGNALS AND SYSTEMS,17,E,3
68,21JD1A0478,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,16,F,0
69,21JD1A0480,R2021041,ELECTRONIC DEVICES AND CIRCUITS,18,ABSENT,0
70,21JD1A0480,R2021042,SWITCHING THEORY AND LOGIC DESIGN,13,ABSENT,0
71,21JD1A0492,R2021042,SWITCHING THEORY AND LOGIC DESIGN,20,ABSENT,0
72,21JD1A0492,R2021043,SIGNALS AND SYSTEMS,16,ABSENT,0
73,21JD1A0492,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,19,ABSENT,0
74,21JD1A0493,R2021043,SIGNALS AND SYSTEMS,19,F,0
75,21JD1A0493,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,20,D,3
76,21JD1A0494,R2021011,MATHEMATICS-III,12,F,0
77,21JD1A0494,R2021043,SIGNALS AND SYSTEMS,14,E,3
78,21JD1A04A1,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,14,F,0
79,21JD1A04B3,R2021041,ELECTRONIC DEVICES AND CIRCUITS,20,F,0
80,21JD1A04B3,R2021042,SWITCHING THEORY AND LOGIC DESIGN,17,D,3
81,21JD1A04B3,R2021043,SIGNALS AND SYSTEMS,21,F,0
82,21JD1A04B3,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,21,F,0
83,21JD1A04B6,R2021043,SIGNALS AND SYSTEMS,19,F,0
84,21JD1A04B6,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,ABSENT,0
85,21JD1A04C4,R2021042,SWITCHING THEORY AND LOGIC DESIGN,15,ABSENT,0
86,21JD1A04C4,R2021043,SIGNALS AND SYSTEMS,15,ABSENT,0
87,21JD1A04C4,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,ABSENT,0
88,21JD1A0501,R2021011,MATHEMATICS-III,11,F,0
89,21JD1A0501,R2021052,OPERATING SYSTEMS,19,F,0
90,21JD1A0501,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,8,F,0
91,21JD1A0506,R2021011,MATHEMATICS-III,14,E,3
92,21JD1A0506,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,16,E,3
93,21JD1A0514,R2021011,MATHEMATICS-III,13,E,3
94,21JD1A0515,R2021011,MATHEMATICS-III,14,E,3
95,21JD1A0516,R2021011,MATHEMATICS-III,19,F,0
96,21JD1A0519,R2021011,MATHEMATICS-III,12,F,0
97,21JD1A0530,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,17,E,3
98,21JD1A0539,R2021011,MATHEMATICS-III,18,ABSENT,0
99,21JD1A0545,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,17,F,0
100,21JD1A0561,R2021011,MATHEMATICS-III,16,F,0
101,21JD1A0570,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,19,E,3
102,21JD1A0574,R2021011,MATHEMATICS-III,18,F,0
103,21JD1A0577,R2021011,MATHEMATICS-III,19,C,3
104,21JD1A0578,R2021011,MATHEMATICS-III,15,F,0
105,21JD1A0578,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,12,F,0
106,21JD1A0580,R2021011,MATHEMATICS-III,13,ABSENT,0
107,21JD1A0581,R2021011,MATHEMATICS-III,11,F,0
108,21JD1A0586,R2021011,MATHEMATICS-III,19,F,0
109,21JD1A05A1,R2021011,MATHEMATICS-III,18,F,0
110,21JD1A05A2,R2021011,MATHEMATICS-III,18,F,0
111,21JD1A05A2,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,10,F,0
112,21JD1A05A3,R2021011,MATHEMATICS-III,19,F,0
113,21JD1A05A8,R2021011,MATHEMATICS-III,17,E,3
114,21JD1A05A8,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,13,E,3
115,21JD1A05B5,R2021011,MATHEMATICS-III,20,F,0
116,21JD1A05B9,R2021011,MATHEMATICS-III,19,F,0
117,21JD1A05C2,R2021011,MATHEMATICS-III,20,F,0
118,21JD1A05C4,R2021011,MATHEMATICS-III,18,E,3
119,21JD1A05D0,R2021011,MATHEMATICS-III,23,F,0
120,21JD1A4503,R2021011,MATHEMATICS-III,18,F,0
121,21JD1A4517,R2021011,MATHEMATICS-III,25,D,3
122,21JD1A4528,R2021011,MATHEMATICS-III,11,F,0
123,21JD1A4530,R2021011,MATHEMATICS-III,10,F,0
124,21JD1A4530,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,16,F,0
125,21JD1A4530,R2021121,DATABASE MANAGEMENT SYSTEMS,15,F,0
126,21JD1A4531,R2021011,MATHEMATICS-III,14,F,0
127,21JD1A4531,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,19,E,3
128,21JD1A4538,R2021011,MATHEMATICS-III,19,F,0
129,21JD1A4538,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,19,E,3
130,21JD1A4541,R2021011,MATHEMATICS-III,22,F,0
131,21JD1A4555,R2021011,MATHEMATICS-III,23,F,0
132,21JD1A4566,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,D,3
133,21JD5A0304,R2021011,MATHEMATICS-III,20,F,0
134,21JD5A0318,R2021011,MATHEMATICS-III,15,F,0
135,21JD5A0335,R2021032,FLUID MECHANICS & HYDRAULIC MACHINES,5,F,0
136,21JD5A0336,R2021034,KINEMATICS OF MACHINERY,18,E,3
137,21JD5A0417,R2021043,SIGNALS AND SYSTEMS,15,ABSENT,0
138,21JD5A0502,R2021011,MATHEMATICS-III,17,F,0
139,21JD5A0504,R2021011,MATHEMATICS-III,22,F,0
140,22JD1A0206,R2021021,MATHEMATICS-IV,23,F,0
141,22JD1A0302,R2021011,MATHEMATICS-III,21,F,0
142,22JD1A0404,R2021011,MATHEMATICS-III,16,F,0
143,22JD1A0404,R2021043,SIGNALS AND SYSTEMS,17,F,0
144,22JD1A0407,R2021011,MATHEMATICS-III,11,F,0
145,22JD1A0407,R2021041,ELECTRONIC DEVICES AND CIRCUITS,17,F,0
146,22JD1A0407,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,20,ABSENT,0
147,22JD1A0410,R2021011,MATHEMATICS-III,16,F,0
148,22JD1A0410,R2021043,SIGNALS AND SYSTEMS,18,D,3
149,22JD1A0412,R2021011,MATHEMATICS-III,10,F,0
150,22JD1A0412,R2021043,SIGNALS AND SYSTEMS,19,F,0
151,22JD1A0414,R2021011,MATHEMATICS-III,14,F,0
152,22JD1A0414,R2021041,ELECTRONIC DEVICES AND CIRCUITS,13,F,0
153,22JD1A0416,R2021011,MATHEMATICS-III,14,F,0
154,22JD1A0416,R2021041,ELECTRONIC DEVICES AND CIRCUITS,18,F,0
155,22JD1A0416,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,18,F,0
156,22JD1A0418,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,22,F,0
157,22JD1A0420,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,23,F,0
158,22JD1A0425,R2021011,MATHEMATICS-III,15,E,3
159,22JD1A0425,R2021041,ELECTRONIC DEVICES AND CIRCUITS,15,F,0
160,22JD1A0427,R2021011,MATHEMATICS-III,14,E,3
161,22JD1A0427,R2021041,ELECTRONIC DEVICES AND CIRCUITS,21,E,3
162,22JD1A0427,R2021043,SIGNALS AND SYSTEMS,15,D,3
163,22JD1A0429,R2021011,MATHEMATICS-III,18,F,0
164,22JD1A0429,R2021043,SIGNALS AND SYSTEMS,16,D,3
165,22JD1A0430,R2021011,MATHEMATICS-III,19,F,0
166,22JD1A0430,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,21,F,0
167,22JD1A0432,R2021011,MATHEMATICS-III,12,F,0
168,22JD1A0432,R2021042,SWITCHING THEORY AND LOGIC DESIGN,13,F,0
169,22JD1A0432,R2021043,SIGNALS AND SYSTEMS,16,F,0
170,22JD1A0436,R2021011,MATHEMATICS-III,17,F,0
171,22JD1A0436,R2021041,ELECTRONIC DEVICES AND CIRCUITS,19,F,0
172,22JD1A0436,R2021042,SWITCHING THEORY AND LOGIC DESIGN,13,F,0
173,22JD1A0436,R2021043,SIGNALS AND SYSTEMS,17,F,0
174,22JD1A0436,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,17,F,0
175,22JD1A0438,R2021011,MATHEMATICS-III,17,F,0
176,22JD1A0438,R2021043,SIGNALS AND SYSTEMS,17,E,3
177,22JD1A0442,R2021041,ELECTRONIC DEVICES AND CIRCUITS,20,F,0
178,22JD1A0442,R2021043,SIGNALS AND SYSTEMS,17,F,0
179,22JD1A0442,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,19,F,0
180,22JD1A0443,R2021011,MATHEMATICS-III,20,F,0
181,22JD1A0446,R2021011,MATHEMATICS-III,10,F,0
182,22JD1A0449,R2021041,ELECTRONIC DEVICES AND CIRCUITS,21,F,0
183,22JD1A0451,R2021011,MATHEMATICS-III,18,F,0
184,22JD1A0452,R2021043,SIGNALS AND SYSTEMS,18,D,3
185,22JD1A0452,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,21,F,0
186,22JD1A0454,R2021042,SWITCHING THEORY AND LOGIC DESIGN,22,D,3
187,22JD1A0455,R2021041,ELECTRONIC DEVICES AND CIRCUITS,18,F,0
188,22JD1A0455,R2021043,SIGNALS AND SYSTEMS,15,E,3
189,22JD1A0457,R2021011,MATHEMATICS-III,21,F,0
190,22JD1A0458,R2021042,SWITCHING THEORY AND LOGIC DESIGN,22,D,3
191,22JD1A0458,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,19,F,0
192,22JD1A0461,R2021041,ELECTRONIC DEVICES AND CIRCUITS,18,F,0
193,22JD1A0461,R2021042,SWITCHING THEORY AND LOGIC DESIGN,20,F,0
194,22JD1A0461,R2021043,SIGNALS AND SYSTEMS,15,F,0
195,22JD1A0463,R2021011,MATHEMATICS-III,19,F,0
196,22JD1A0463,R2021043,SIGNALS AND SYSTEMS,15,F,0
197,22JD1A0467,R2021011,MATHEMATICS-III,19,F,0
198,22JD1A0467,R2021043,SIGNALS AND SYSTEMS,16,F,0
199,22JD1A0467,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,17,F,0
200,22JD1A0469,R2021041,ELECTRONIC DEVICES AND CIRCUITS,16,F,0
201,22JD1A0469,R2021042,SWITCHING THEORY AND LOGIC DESIGN,14,F,0
202,22JD1A0469,R2021043,SIGNALS AND SYSTEMS,16,F,0
203,22JD1A0471,R2021011,MATHEMATICS-III,21,F,0
204,22JD1A0473,R2021011,MATHEMATICS-III,15,F,0
205,22JD1A0475,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,20,F,0
206,22JD1A0477,R2021042,SWITCHING THEORY AND LOGIC DESIGN,23,ABSENT,0
207,22JD1A0479,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,20,F,0
208,22JD1A0480,R2021011,MATHEMATICS-III,23,ABSENT,0
209,22JD1A0480,R2021041,ELECTRONIC DEVICES AND CIRCUITS,23,F,0
210,22JD1A0480,R2021042,SWITCHING THEORY AND LOGIC DESIGN,24,ABSENT,0
211,22JD1A0480,R2021043,SIGNALS AND SYSTEMS,20,ABSENT,0
212,22JD1A0483,R2021011,MATHEMATICS-III,21,F,0
213,22JD1A0484,R2021041,ELECTRONIC DEVICES AND CIRCUITS,18,F,0
214,22JD1A0484,R2021042,SWITCHING THEORY AND LOGIC DESIGN,23,F,0
215,22JD1A0484,R2021043,SIGNALS AND SYSTEMS,18,F,0
216,22JD1A0485,R2021041,ELECTRONIC DEVICES AND CIRCUITS,17,ABSENT,0
217,22JD1A0485,R2021042,SWITCHING THEORY AND LOGIC DESIGN,25,ABSENT,0
218,22JD1A0485,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,23,ABSENT,0
219,22JD1A0489,R2021011,MATHEMATICS-III,17,F,0
220,22JD1A0495,R2021011,MATHEMATICS-III,15,F,0
221,22JD1A0495,R2021043,SIGNALS AND SYSTEMS,15,E,3
222,22JD1A04A2,R2021041,ELECTRONIC DEVICES AND CIRCUITS,19,F,0
223,22JD1A04A6,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,23,F,0
224,22JD1A04A7,R2021044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,22,F,0
225,22JD1A0501,R2021011,MATHEMATICS-III,15,F,0
226,22JD1A0501,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,F,0
227,22JD1A0510,R2021011,MATHEMATICS-III,16,E,3
228,22JD1A0512,R2021011,MATHEMATICS-III,20,F,0
229,22JD1A0515,R2021011,MATHEMATICS-III,18,ABSENT,0
230,22JD1A0515,R2021053,SOFTWARE ENGINEERING,23,ABSENT,0
231,22JD1A0515,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,16,ABSENT,0
232,22JD1A0517,R2021011,MATHEMATICS-III,21,F,0
233,22JD1A0518,R2021011,MATHEMATICS-III,14,F,0
234,22JD1A0522,R2021011,MATHEMATICS-III,18,ABSENT,0
235,22JD1A0522,R2021052,OPERATING SYSTEMS,21,F,0
236,22JD1A0525,R2021011,MATHEMATICS-III,18,F,0
237,22JD1A0526,R2021011,MATHEMATICS-III,17,F,0
238,22JD1A0528,R2021011,MATHEMATICS-III,13,F,0
239,22JD1A0528,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,17,ABSENT,0
240,22JD1A0530,R2021011,MATHEMATICS-III,12,F,0
241,22JD1A0533,R2021011,MATHEMATICS-III,21,F,0
242,22JD1A0538,R2021011,MATHEMATICS-III,23,ABSENT,0
243,22JD1A0538,R2021051,OBJECT ORIENTED PROGRAMMING THROUGH C++,23,ABSENT,0
244,22JD1A0538,R2021052,OPERATING SYSTEMS,24,F,0
245,22JD1A0542,R2021052,OPERATING SYSTEMS,24,F,0
246,22JD1A0543,R2021011,MATHEMATICS-III,23,D,3
247,22JD1A0544,R2021011,MATHEMATICS-III,26,F,0
248,22JD1A0544,R2021052,OPERATING SYSTEMS,24,F,0
249,22JD1A0545,R2021011,MATHEMATICS-III,17,F,0
250,22JD1A0545,R2021052,OPERATING SYSTEMS,17,E,3
251,22JD1A0545,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,D,3
252,22JD1A0547,R2021011,MATHEMATICS-III,17,F,0
253,22JD1A0547,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,22,F,0
254,22JD1A0560,R2021011,MATHEMATICS-III,18,E,3
255,22JD1A0570,R2021011,MATHEMATICS-III,12,F,0
256,22JD1A0576,R2021011,MATHEMATICS-III,15,F,0
257,22JD1A0577,R2021011,MATHEMATICS-III,17,F,0
258,22JD1A0577,R2021052,OPERATING SYSTEMS,18,F,0
259,22JD1A0578,R2021011,MATHEMATICS-III,17,F,0
260,22JD1A0582,R2021011,MATHEMATICS-III,23,F,0
261,22JD1A0583,R2021011,MATHEMATICS-III,20,F,0
262,22JD1A0584,R2021011,MATHEMATICS-III,18,F,0
263,22JD1A0585,R2021011,MATHEMATICS-III,18,F,0
264,22JD1A0586,R2021011,MATHEMATICS-III,18,F,0
265,22JD1A0589,R2021011,MATHEMATICS-III,17,F,0
266,22JD1A0591,R2021011,MATHEMATICS-III,14,F,0
267,22JD1A0591,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,19,E,3
268,22JD1A0594,R2021011,MATHEMATICS-III,13,F,0
269,22JD1A0594,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,15,F,0
270,22JD1A0595,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,22,D,3
271,22JD1A05A1,R2021011,MATHEMATICS-III,21,D,3
272,22JD1A05A3,R2021011,MATHEMATICS-III,19,F,0
273,22JD1A05A9,R2021011,MATHEMATICS-III,15,F,0
274,22JD1A05A9,R2021052,OPERATING SYSTEMS,24,ABSENT,0
275,22JD1A05B1,R2021011,MATHEMATICS-III,16,F,0
276,22JD1A05B8,R2021011,MATHEMATICS-III,17,E,3
277,22JD1A05B9,R2021011,MATHEMATICS-III,17,F,0
278,22JD1A05C1,R2021011,MATHEMATICS-III,14,F,0
279,22JD1A05C1,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,18,D,3
280,22JD1A05C2,R2021011,MATHEMATICS-III,22,F,0
281,22JD1A05C3,R2021011,MATHEMATICS-III,14,F,0
282,22JD1A05C5,R2021011,MATHEMATICS-III,16,E,3
283,22JD1A05C7,R2021011,MATHEMATICS-III,17,F,0
284,22JD1A05D2,R2021011,MATHEMATICS-III,12,F,0
285,22JD1A4406,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,17,D,3
286,22JD1A4406,R2021121,DATABASE MANAGEMENT SYSTEMS,12,F,0
287,22JD1A4406,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,13,E,3
288,22JD1A4407,R2021011,MATHEMATICS-III,18,F,0
289,22JD1A4421,R2021011,MATHEMATICS-III,14,F,0
290,22JD1A4421,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,B,3
291,22JD1A4424,R2021011,MATHEMATICS-III,11,F,0
292,22JD1A4424,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,ABSENT,0
293,22JD1A4426,R2021011,MATHEMATICS-III,9,F,0
294,22JD1A4426,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,15,C,3
295,22JD1A4427,R2021011,MATHEMATICS-III,16,E,3
296,22JD1A4429,R2021011,MATHEMATICS-III,10,F,0
297,22JD1A4429,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,19,D,3
298,22JD1A4431,R2021011,MATHEMATICS-III,11,F,0
299,22JD1A4432,R2021011,MATHEMATICS-III,15,F,0
300,22JD1A4433,R2021011,MATHEMATICS-III,21,F,0
301,22JD1A4438,R2021011,MATHEMATICS-III,19,F,0
302,22JD1A4443,R2021011,MATHEMATICS-III,15,F,0
303,22JD1A4446,R2021011,MATHEMATICS-III,12,F,0
304,22JD1A4448,R2021121,DATABASE MANAGEMENT SYSTEMS,23,F,0
305,22JD1A4451,R2021011,MATHEMATICS-III,9,F,0
306,22JD1A4451,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,14,ABSENT,0
307,22JD1A4452,R2021011,MATHEMATICS-III,16,F,0
308,22JD1A4460,R2021011,MATHEMATICS-III,17,F,0
309,22JD1A4463,R2021011,MATHEMATICS-III,13,F,0
310,22JD1A4463,R2021121,DATABASE MANAGEMENT SYSTEMS,14,F,0
311,22JD1A4463,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,13,F,0
312,22JD1A4502,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,13,E,3
313,22JD1A4502,R2021121,DATABASE MANAGEMENT SYSTEMS,9,ABSENT,0
314,22JD1A4502,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,13,F,0
315,22JD1A4514,R2021011,MATHEMATICS-III,10,F,0
316,22JD1A4517,R2021011,MATHEMATICS-III,24,D,3
317,22JD1A4519,R2021011,MATHEMATICS-III,15,F,0
318,22JD1A4519,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,21,F,0
319,22JD1A4521,R2021011,MATHEMATICS-III,12,F,0
320,22JD1A4525,R2021011,MATHEMATICS-III,14,F,0
321,22JD1A4525,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,21,D,3
322,22JD1A4527,R2021011,MATHEMATICS-III,9,F,0
323,22JD1A4527,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,E,3
324,22JD1A4527,R2021121,DATABASE MANAGEMENT SYSTEMS,16,E,3
325,22JD1A4529,R2021011,MATHEMATICS-III,18,F,0
326,22JD1A4530,R2021011,MATHEMATICS-III,11,F,0
327,22JD1A4530,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,19,E,3
328,22JD1A4531,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,19,D,3
329,22JD1A4535,R2021011,MATHEMATICS-III,15,F,0
330,22JD1A4535,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,22,F,0
331,22JD1A4535,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,14,F,0
332,22JD1A4538,R2021011,MATHEMATICS-III,21,D,3
333,22JD1A4542,R2021011,MATHEMATICS-III,10,F,0
334,22JD1A4542,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,19,E,3
335,22JD1A4545,R2021011,MATHEMATICS-III,19,F,0
336,22JD1A4554,R2021011,MATHEMATICS-III,9,F,0
337,22JD1A4556,R2021011,MATHEMATICS-III,15,F,0
338,22JD1A4556,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,F,0
339,22JD5A0208,R2021021,MATHEMATICS-IV,20,F,0
340,22JD5A0218,R2021021,MATHEMATICS-IV,20,F,0
341,22JD5A0221,R2021021,MATHEMATICS-IV,19,F,0
342,22JD5A0228,R2021021,MATHEMATICS-IV,13,ABSENT,0
343,22JD5A0236,R2021021,MATHEMATICS-IV,19,D,3
344,22JD5A0241,R2021021,MATHEMATICS-IV,23,C,3
345,22JD5A0321,R2021011,MATHEMATICS-III,14,E,3
346,22JD5A0416,R2021011,MATHEMATICS-III,22,F,0
347,22JD5A0416,R2021043,SIGNALS AND SYSTEMS,16,F,0
348,22JD5A0507,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,21,F,0
349,23JD1A0201,R2321021,COMPLEX VARIABLES &NUMERICAL METHODS,20,F,0
350,23JD1A0201,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,21,F,0
351,23JD1A0201,R2321024,DC MACHINES & TRANSFORMERS,17,E,3
352,23JD1A0204,R2321022,ELECTRO MAGNETIC FIELD THEORY,19,ABSENT,0
353,23JD1A0204,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,21,F,0
354,23JD1A0204,R2321024,DC MACHINES & TRANSFORMERS,19,D,3
355,23JD1A0205,R2321023,ELECTRICAL CIRCUIT ANALYSIS-II,24,F,0
356,23JD1A0205,R2321024,DC MACHINES & TRANSFORMERS,24,D,3
